-94.117 -97.777 -97.985 -97.971
-99.806 -100.096 -99.844 -99.471
-100.605 -99.512 -99.664 -99.217
-99.373 -100.780 -100.812 -100.551
-99.244 -100.702 -100.544 -100.044
-100.581 -101.463 -101.623 -101.076
-99.892 -101.197 -100.822 -100.533
-98.980 -101.916 -101.955 -101.573
-102.981 -100.875 -100.153 -100.016
-99.691 -100.821 -100.878 -100.616
-98.481 -100.507 -100.411 -100.327
-100.528 -100.721 -100.472 -100.195
-100.514 -102.478 -103.019 -102.712
-100.121 -100.539 -100.325 -99.725
-98.815 -100.330 -100.189 -99.830
-101.165 -101.583 -101.555 -101.435
-100.243 -100.859 -102.450 -102.404
-100.902 -101.178 -101.191 -100.906
-99.569 -99.611 -100.789 -100.693
-99.716 -100.214 -100.526 -100.285
-99.092 -100.164 -100.050 -99.648
-99.591 -99.511 -99.680 -99.496
-95.591 -101.748 -102.643 -102.457
-98.613 -100.926 -100.703 -100.460
-88.209 -99.925 -100.993 -100.627
-95.399 -99.765 -100.030 -99.697
-98.879 -99.922 -100.102 -100.067
-98.580 -100.431 -100.578 -100.427
-101.315 -100.869 -101.179 -100.877
-99.918 -100.471 -100.510 -100.159
-100.717 -102.293 -102.348 -101.995
-102.897 -100.456 -99.846 -99.552
-99.736 -101.362 -101.678 -101.351
-100.459 -102.548 -102.891 -102.616
-97.473 -98.894 -99.528 -99.434
-101.200 -101.359 -101.292 -101.026
-98.406 -99.828 -100.860 -100.645
-99.560 -100.667 -100.592 -100.322
-97.685 -100.127 -100.507 -100.181
-99.739 -101.465 -101.257 -100.986
-102.680 -98.184 -97.897 -97.742
-101.137 -101.129 -101.216 -100.918
-101.137 -99.260 -99.731 -99.727
-99.036 -100.960 -101.168 -100.784
-100.004 -100.637 -100.655 -100.235
-100.759 -101.375 -100.644 -100.328
-98.879 -100.437 -100.733 -100.438
-98.377 -100.562 -100.473 -100.315
-102.664 -102.745 -102.066 -101.732
-99.750 -101.066 -101.036 -100.944
-99.622 -100.285 -100.072 -100.046
-97.600 -99.441 -99.726 -99.624
-100.909 -99.009 -99.021 -98.932
-100.727 -101.403 -100.676 -100.354
-94.058 -100.076 -100.486 -100.130
-98.738 -100.435 -100.430 -100.299
-95.391 -100.445 -101.667 -101.172
