ID,Gen,Origin,CompositionSm,CompositionFe,Enthalpy,Volume,Density,Mag_moment,KPOINTS1,KPOINTS2,KPOINTS3,SYMM,Q_entr,A_order,S_order,magmom,magmom_pv,magmom_pa,energy_substance_pa
47,1,RandTop,1,12,-100.43799999999999,163.51,8.333,-0.131,3,3,3,1,0.209,2.241,1.65,21.41981,0.131,1.6476776923076921,0.28300000000000236
48,1,RandTop,1,12,-100.315,166.834,8.167,-0.158,3,2,2,1,0.191,2.168,1.6769999999999998,26.359772,0.158,2.027674769230769,0.29246153846154005
49,1,RandTop,1,12,-101.73200000000001,163.596,8.328,-0.162,4,4,2,12,0.172,3.398,2.6860000000000004,26.502552,0.162,2.0386578461538463,0.18346153846153884
50,1,RandTop,1,12,-100.944,166.34,8.191,-0.158,3,3,2,2,0.16699999999999998,2.2319999999999998,1.808,26.28172,0.158,2.021670769230769,0.2440769230769243
51,1,RandTop,1,12,-100.046,158.197,8.613,-0.155,3,3,3,1,0.18899999999999997,2.278,1.746,24.520535,0.155,1.8861949999999998,0.3131538461538471
52,1,RandTop,1,12,-99.624,165.07299999999998,8.254,-0.115,3,3,2,1,0.213,2.148,1.575,18.983394999999998,0.115,1.4602611538461536,0.34561538461538643
53,1,RandTop,1,12,-98.932,150.866,9.031,-0.057,3,4,3,1,0.20800000000000002,2.15,1.591,8.599362000000001,0.057,0.6614893846153846,0.3988461538461551
54,1,RandTop,1,12,-100.354,166.683,8.174,-0.145,4,4,2,8,0.21899999999999997,3.0039999999999996,2.1,24.169034999999997,0.145,1.8591565384615383,0.28946153846153994
55,1,RandTop,1,12,-100.13,186.407,7.309,-0.14800000000000002,2,3,4,1,0.221,2.2969999999999997,1.669,27.588236000000002,0.148,2.122172,0.3066923076923095
56,1,RandTop,1,12,-100.29899999999999,165.204,8.247,-0.125,3,2,4,1,0.22899999999999998,2.202,1.557,20.6505,0.125,1.5885,0.2936923076923097
57,1,RandTop,1,12,-101.17200000000001,177.06799999999998,7.695,-0.16399999999999998,4,3,2,2,0.16699999999999998,2.375,1.919,29.039151999999998,0.164,2.2337809230769228,0.2265384615384621
58,1,RandTop,1,12,-101.809,167.976,8.111,-0.158,3,2,4,2,0.18,2.6060000000000003,2.055,26.540208,0.158,2.0415544615384613,0.17753846153846317
59,1,RandTop,1,12,-100.781,165.06900000000002,8.254,-0.16,4,4,2,8,0.19699999999999998,3.022,2.2569999999999997,26.411040000000003,0.16,2.0316184615384616,0.2566153846153856
60,1,RandTop,1,12,-99.569,159.908,8.52,-0.102,3,3,3,1,0.18600000000000003,2.254,1.761,16.310615999999996,0.102,1.254662769230769,0.3498461538461551
61,1,RandTop,1,12,-100.927,162.483,8.385,-0.17,3,3,3,1,0.195,2.1919999999999997,1.686,27.622110000000003,0.17,2.1247776923076924,0.2453846153846163
62,1,RandTop,1,12,-97.538,168.253,8.097999999999999,-0.125,4,3,2,25,0.23600000000000002,2.825,1.893,21.031625,0.125,1.6178173076923075,0.5060769230769248
63,1,RandTop,1,12,-100.24700000000001,159.50799999999998,8.542,-0.16399999999999998,3,3,3,1,0.20199999999999999,2.259,1.7,26.159311999999996,0.164,2.012254769230769,0.29769230769230803
64,1,RandTop,1,12,-101.165,160.857,8.47,-0.16699999999999998,3,3,3,1,0.195,2.327,1.78,26.863119,0.167,2.0663937692307695,0.22707692307692404
65,1,RandTop,1,12,-100.65100000000001,167.783,8.12,-0.16399999999999998,3,3,3,1,0.175,2.358,1.881,27.516412,0.164,2.1166470769230767,0.26661538461538525
66,1,RandTop,1,12,-98.213,170.231,8.004,-0.124,2,4,3,1,0.22,2.238,1.601,21.108643999999998,0.124,1.623741846153846,0.4541538461538481
67,1,RandTop,1,12,-100.81299999999999,164.7,8.272,-0.138,3,3,2,65,0.177,2.873,2.26,22.7286,0.138,1.7483538461538461,0.2541538461538485
68,1,RandTop,1,12,-101.676,164.322,8.291,-0.147,4,3,2,8,0.163,2.713,2.2030000000000003,24.155334,0.147,1.8581026153846154,0.18776923076923205
69,1,RandTop,1,12,-99.95200000000001,161.796,8.421,-0.158,3,3,3,1,0.193,2.199,1.689,25.563768,0.158,1.9664436923076922,0.3203846153846159
70,1,RandTop,1,12,-98.84899999999999,166.315,8.192,-0.133,3,2,4,1,0.207,2.222,1.6540000000000001,22.119895,0.133,1.7015303846153846,0.40523076923077145
71,1,RandTop,1,12,-100.14299999999999,171.03900000000002,7.966,-0.16,4,4,2,1,0.235,2.384,1.617,27.366240000000005,0.16,2.105095384615385,0.30569230769231015
72,1,RandTop,1,12,-99.855,149.151,9.135,-0.111,3,3,3,1,0.183,2.2640000000000002,1.7830000000000001,16.555761,0.111,1.273520076923077,0.32784615384615495
73,1,RandTop,1,12,-100.834,169.888,8.02,-0.141,2,3,3,1,0.217,2.379,1.72,23.954207999999998,0.141,1.8426313846153843,0.2525384615384627
74,1,RandTop,1,12,-100.411,159.703,8.531,-0.157,3,3,3,1,0.205,2.2030000000000003,1.6380000000000001,25.073371,0.157,1.9287208461538463,0.2850769230769244
75,1,RandTop,1,12,-102.87100000000001,160.92700000000002,8.466000000000001,-0.149,3,3,4,12,0.183,2.681,2.105,23.978123000000004,0.149,1.8444710000000002,0.09584615384615457
76,1,RandTop,1,12,-100.352,156.99,8.679,-0.153,3,2,4,6,0.198,2.641,1.9780000000000002,24.019470000000002,0.153,1.8476515384615386,0.2896153846153858
77,1,RandTop,1,12,-100.962,159.738,8.529,-0.157,2,3,4,6,0.175,2.889,2.298,25.078866,0.157,1.9291435384615385,0.24269230769230887
78,1,RandTop,1,12,-100.098,157.45600000000002,8.652999999999999,-0.129,3,2,4,1,0.183,2.435,1.896,20.311824,0.129,1.562448,0.30915384615384767
79,1,RandTop,1,12,-102.12299999999999,165.037,8.256,-0.13699999999999998,2,4,4,8,0.192,2.795,2.149,22.610069000000003,0.137,1.7392360769230772,0.15338461538461756
80,1,RandTop,1,12,-101.427,165.704,8.222000000000001,-0.16699999999999998,3,3,3,1,0.187,2.327,1.8090000000000002,27.672568000000002,0.167,2.128659076923077,0.20692307692307785
81,1,RandTop,1,12,-100.93299999999999,168.101,8.105,-0.157,4,3,2,10,0.196,2.702,2.048,26.391857,0.157,2.030142846153846,0.2449230769230789
82,1,RandTop,1,12,-95.8,179.715,7.581,-0.09300000000000001,4,2,4,25,0.217,3.175,2.3040000000000003,16.713495,0.093,1.2856534615384616,0.6397692307692324
83,1,RandTop,1,12,-100.289,159.537,8.54,-0.156,3,3,2,8,0.17300000000000001,2.5989999999999998,2.039,24.887772000000002,0.156,1.914444,0.2944615384615398
84,1,RandTop,1,12,-100.49700000000001,174.428,7.811,-0.155,4,2,3,6,0.214,2.66,1.9340000000000002,27.03634,0.155,2.0797184615384614,0.2784615384615388
85,1,RandTop,1,12,-100.29899999999999,168.03900000000002,8.107999999999999,-0.141,2,3,4,6,0.22,2.694,1.9169999999999998,23.693499,0.141,1.822576846153846,0.2936923076923097
86,1,RandTop,1,12,-100.02799999999999,164.19099999999997,8.298,-0.156,3,2,4,6,0.23600000000000002,2.519,1.716,25.613795999999997,0.156,1.9702919999999997,0.3145384615384636
87,1,RandTop,1,12,-100.37,160.80100000000002,8.472999999999999,-0.152,3,3,2,1,0.177,2.28,1.8019999999999998,24.441752,0.152,1.8801347692307693,0.2882307692307703
88,1,RandTop,1,12,-100.948,163.822,8.317,-0.168,4,4,2,8,0.21100000000000002,2.612,1.921,27.522096,0.168,2.117084307692308,0.2437692307692327
89,1,RandTop,1,12,-99.33200000000001,169.62400000000002,8.032,-0.11,3,3,3,1,0.196,2.2319999999999998,1.7109999999999999,18.658640000000002,0.11,1.4352800000000001,0.3680769230769239
90,1,RandTop,1,12,-101.14399999999999,160.856,8.47,-0.166,3,3,3,1,0.18899999999999997,2.299,1.7719999999999998,26.702096,0.166,2.054007384615385,0.2286923076923098
91,1,RandTop,1,12,-99.88799999999999,162.338,8.392999999999999,-0.15,3,3,2,1,0.198,2.383,1.796,24.3507,0.15,1.8731307692307693,0.3253076923076944
92,1,RandTop,1,12,-100.90899999999999,169.291,8.048,-0.16,4,3,2,1,0.2,2.676,2.016,27.08656,0.16,2.083581538461538,0.24676923076923282
93,1,RandTop,1,12,-101.081,165.775,8.219,-0.14800000000000002,2,4,3,6,0.215,2.8339999999999996,2.0669999999999997,24.5347,0.148,1.8872846153846154,0.23353846153846275
94,1,RandTop,1,12,-99.876,172.795,7.885,-0.149,4,4,2,1,0.215,2.485,1.821,25.746454999999997,0.149,1.9804965384615383,0.3262307692307703
95,1,RandTop,1,12,-99.749,145.171,9.385,-0.129,3,4,2,10,0.166,2.766,2.235,18.727059,0.129,1.4405430000000001,0.3360000000000018
96,1,RandTop,1,12,-100.939,166.665,8.175,-0.165,3,2,3,1,0.221,2.557,1.797,27.499725,0.165,2.1153634615384616,0.24446153846154045
97,1,Seeds,1,12,-103.146,172.396,7.903,-0.154,4,3,3,71,0.17,3.1519999999999997,2.54,26.548983999999997,0.154,2.0422295384615383,0.07469230769230907
98,1,RandTop,1,12,-98.62700000000001,170.108,8.009,-0.1,4,2,3,1,0.218,2.2680000000000002,1.639,17.0108,0.1,1.308523076923077,0.422307692307693
99,1,RandTop,1,12,-101.85700000000001,167.19799999999998,8.149,-0.149,3,4,2,10,0.14800000000000002,2.7119999999999997,2.259,24.912501999999996,0.149,1.9163463076923075,0.17384615384615423
100,1,RandTop,1,12,-100.464,159.024,8.568,-0.163,2,3,3,1,0.16399999999999998,2.5540000000000003,2.051,25.920912,0.163,1.9939163076923079,0.2810000000000015
101,1,RandTop,1,12,-101.26899999999999,169.313,8.047,-0.159,3,3,3,8,0.195,2.38,1.8230000000000002,26.920766999999998,0.159,2.0708282307692305,0.2190769230769252
102,1,RandTop,1,12,-100.846,163.452,8.336,-0.149,2,3,3,1,0.20800000000000002,2.3930000000000002,1.765,24.354347999999998,0.149,1.8734113846153844,0.2516153846153858
103,1,RandTop,1,12,-101.212,163.658,8.325,-0.152,4,2,4,8,0.228,2.8560000000000003,1.9969999999999999,24.876015999999996,0.152,1.913539692307692,0.22346153846153965
104,1,RandTop,1,12,-100.37,156.55,8.703,-0.131,3,3,3,2,0.198,2.438,1.8359999999999999,20.50805,0.131,1.5775423076923079,0.2882307692307703
105,1,RandTop,1,12,-99.49600000000001,162.407,8.389,-0.11800000000000001,4,2,3,1,0.21100000000000002,2.195,1.6159999999999999,19.164026,0.118,1.4741558461538462,0.35546153846153916
106,1,RandTop,1,12,-98.10600000000001,182.981,7.446000000000001,-0.132,3,2,4,1,0.23399999999999999,2.589,1.7530000000000001,24.153492,0.132,1.8579609230769232,0.46238461538461617
107,1,RandTop,1,12,-100.133,153.95,8.85,-0.14400000000000002,3,3,3,1,0.19399999999999998,2.191,1.6880000000000002,22.168799999999997,0.144,1.7052923076923074,0.30646153846154023
108,1,RandTop,1,12,-102.709,164.21599999999998,8.297,-0.141,4,4,2,65,0.161,3.312,2.6660000000000004,23.154455999999996,0.141,1.7811119999999998,0.10830769230769349
109,2,Heredity,1,12,-100.488,162.70600000000002,8.374,-0.16399999999999998,3,3,3,1,0.215,2.293,1.666,26.683784000000003,0.164,2.0525987692307694,0.27915384615384764
110,2,Heredity,1,12,-99.255,180.34599999999998,7.555,-0.14800000000000002,3,4,2,1,0.21100000000000002,2.17,1.595,26.691207999999996,0.148,2.0531698461538457,0.3740000000000018
111,2,Heredity,1,12,-102.105,174.327,7.816,-0.159,3,2,3,2,0.19,2.546,1.9369999999999998,27.717993,0.159,2.132153307692308,0.1547692307692319
112,2,Heredity,1,12,-101.75299999999999,166.083,8.204,-0.166,3,3,3,2,0.171,2.388,1.911,27.569778,0.166,2.120752153846154,0.18184615384615638
113,2,Heredity,1,12,-100.539,169.799,8.024,-0.162,2,3,3,1,0.19899999999999998,2.271,1.7180000000000002,27.507438,0.162,2.1159567692307695,0.27523076923077056
114,2,Heredity,1,12,-97.719,178.313,7.641,-0.11800000000000001,4,4,2,1,0.237,2.5140000000000002,1.716,21.040933999999996,0.118,1.6185333846153844,0.49215384615384805
115,2,Heredity,1,12,-101.156,172.459,7.9,-0.159,3,4,2,2,0.156,2.502,2.063,27.420981,0.159,2.109306230769231,0.22776923076923175
116,2,Heredity,1,12,-101.61,162.47299999999998,8.386000000000001,-0.163,3,3,3,2,0.16399999999999998,2.372,1.936,26.483099,0.163,2.0371614615384614,0.19284615384615533
117,2,Heredity,1,12,-100.666,172.40900000000002,7.903,-0.154,2,3,3,2,0.19699999999999998,2.199,1.672,26.550986,0.154,2.0423835384615385,0.26546153846154014
118,2,Heredity,1,12,-100.318,170.785,7.978,-0.157,3,3,3,1,0.20199999999999999,2.275,1.732,26.813245,0.157,2.0625573076923076,0.29223076923077085
119,2,Heredity,1,12,-100.387,164.542,8.28,-0.162,4,4,2,1,0.222,2.323,1.646,26.655804,0.162,2.0504464615384617,0.28692307692307834
120,2,Heredity,1,12,-101.205,159.686,8.532,-0.17300000000000001,3,2,4,12,0.168,2.76,2.22,27.625678,0.173,2.1250521538461538,0.22400000000000156
121,2,Heredity,1,12,-100.89399999999999,167.03799999999998,8.157,-0.162,3,4,2,1,0.204,2.5180000000000002,1.886,27.060156,0.162,2.0815504615384617,0.24792307692307902
122,2,Heredity,1,12,-100.096,167.429,8.138,-0.133,3,3,3,2,0.15,2.1959999999999997,1.835,22.268057000000002,0.133,1.7129274615384618,0.30930769230769345
123,2,RandTop,1,12,-99.302,173.396,7.858,-0.13699999999999998,2,3,3,1,0.215,2.543,1.8619999999999999,23.755252,0.137,1.8273270769230767,0.3703846153846163
124,2,RandTop,1,12,-100.46700000000001,165.87400000000002,8.214,-0.149,3,3,3,1,0.172,2.2119999999999997,1.778,24.715226,0.149,1.9011712307692308,0.2807692307692312
125,2,RandTop,1,12,-100.18700000000001,166.06599999999997,8.204,-0.17300000000000001,2,3,3,1,0.20600000000000002,2.23,1.666,28.729417999999992,0.173,2.2099552307692303,0.30230769230769283
126,2,Heredity,1,12,-100.363,161.139,8.455,-0.13699999999999998,3,4,2,2,0.2,2.262,1.6980000000000002,22.076043000000002,0.137,1.698157153846154,0.2887692307692322
127,2,Heredity,1,12,-100.10799999999999,169.485,8.039,-0.14300000000000002,3,3,3,1,0.182,2.325,1.8330000000000002,24.236355,0.143,1.864335,0.3083846153846176
128,2,Heredity,1,12,-100.266,172.452,7.901,-0.146,2,3,3,1,0.222,2.27,1.626,25.177992,0.146,1.9367686153846153,0.29623076923077024
129,2,Heredity,1,12,-99.152,157.387,8.657,-0.127,3,3,2,1,0.203,2.185,1.646,19.988149,0.127,1.5375499230769232,0.38192307692307825
130,2,Heredity,1,12,-100.42200000000001,165.68099999999998,8.222999999999999,-0.12300000000000001,4,2,2,8,0.23,2.418,1.704,20.378763,0.123,1.5675971538461537,0.2842307692307698
131,2,Heredity,1,12,-99.71799999999999,162.123,8.404,-0.149,2,4,3,1,0.157,2.313,1.911,24.156326999999997,0.149,1.8581789999999998,0.3383846153846176
132,2,Heredity,1,12,-100.17299999999999,168.204,8.1,-0.165,3,2,3,1,0.191,2.315,1.8019999999999998,27.753660000000004,0.165,2.1348969230769232,0.30338461538461775
133,2,Heredity,1,12,-100.05,165.93099999999998,8.211,-0.086,3,2,4,1,0.19899999999999998,2.275,1.7269999999999999,14.270065999999998,0.086,1.0976973846153846,0.3128461538461555
134,2,Heredity,1,12,-99.74799999999999,167.173,8.15,-0.11199999999999999,4,3,3,1,0.204,2.1390000000000002,1.6269999999999998,18.723376000000002,0.112,1.4402596923076925,0.33607692307692527
135,2,Heredity,1,12,-100.169,166.46400000000003,8.185,-0.159,3,2,4,1,0.20199999999999999,2.1790000000000003,1.6480000000000001,26.467776000000004,0.159,2.0359827692307695,0.30369230769230937
136,2,RandTop,1,12,-100.81700000000001,173.365,7.859,-0.158,4,2,3,1,0.21100000000000002,2.5469999999999997,1.881,27.39167,0.158,2.1070515384615387,0.2538461538461547
137,2,RandTop,1,12,-101.029,166.822,8.167,-0.168,2,4,3,2,0.16699999999999998,2.1630000000000003,1.755,28.026096000000003,0.168,2.1558535384615385,0.23753846153846325
138,2,RandTop,1,12,-100.92200000000001,161.71200000000002,8.425,-0.145,2,4,3,2,0.13699999999999998,2.4859999999999998,2.119,23.448240000000002,0.145,1.8037107692307695,0.24576923076923135
139,2,RandTop,1,12,-98.36,182.00799999999998,7.486000000000001,-0.15,4,2,3,1,0.22,2.6919999999999997,1.892,27.301199999999998,0.15,2.1000923076923077,0.44284615384615533
140,2,RandTop,1,12,-100.96700000000001,171.343,7.952000000000001,-0.141,3,2,3,1,0.207,2.291,1.699,24.159362999999995,0.141,1.8584125384615382,0.24230769230769275
141,2,RandTop,1,12,-100.395,163.102,8.353,-0.16399999999999998,3,3,3,1,0.172,2.383,1.913,26.748728000000003,0.164,2.0575944615384616,0.28630769230769404
142,2,RandTop,1,12,-101.554,169.947,8.017000000000001,-0.149,4,2,3,6,0.175,2.9410000000000003,2.3369999999999997,25.322103,0.149,1.9478540769230768,0.19715384615384743
143,2,RandTop,1,12,-101.553,161.455,8.439,-0.159,3,3,3,2,0.168,2.373,1.922,25.671345000000002,0.159,1.9747188461538463,0.19723076923077087
144,2,Permutate,1,12,-101.215,171.55,7.942,-0.166,3,2,4,1,0.165,2.411,1.955,28.477300000000003,0.166,2.1905615384615387,0.2232307692307704
145,2,Permutate,1,12,-99.806,179.771,7.579,-0.162,3,4,2,1,0.196,2.379,1.811,29.122902,0.162,2.2402232307692307,0.33161538461538625
146,2,Permutate,1,12,-99.38,163.445,8.336,-0.141,3,3,2,1,0.22399999999999998,2.133,1.528,23.045744999999997,0.141,1.7727496153846152,0.3643846153846172
147,2,Permutate,1,12,-100.198,175.213,7.776,-0.149,2,3,4,6,0.20800000000000002,2.7969999999999997,2.043,26.106737,0.149,2.0082105384615385,0.3014615384615404
148,2,Permutate,1,12,-101.28299999999999,170.829,7.976,-0.16699999999999998,4,3,2,1,0.183,2.451,1.915,28.528443000000003,0.167,2.1944956153846156,0.21800000000000244
149,2,Permutate,1,12,-99.742,173.355,7.859,-0.157,2,3,4,6,0.225,2.642,1.859,27.216735,0.157,2.093595,0.3365384615384626
150,2,Permutate,1,12,-99.443,182.18900000000002,7.478,-0.158,4,3,2,35,0.239,2.656,1.7790000000000001,28.785862000000005,0.158,2.2142970769230774,0.35953846153846314
151,2,Permutate,1,12,-99.859,176.945,7.7,-0.16,2,3,4,6,0.21,2.635,1.9340000000000002,28.3112,0.16,2.177784615384615,0.3275384615384634
152,2,Permutate,1,12,-99.38,162.876,8.365,-0.138,3,3,2,1,0.22399999999999998,2.148,1.534,22.476888000000002,0.138,1.7289913846153848,0.3643846153846172
153,2,Permutate,1,12,-101.249,178.796,7.62,-0.156,2,3,3,2,0.2,2.7680000000000002,2.023,27.892176,0.156,2.145552,0.2206153846153864
154,2,Permutate,1,12,-99.736,170.889,7.973,-0.16699999999999998,3,3,3,5,0.205,2.384,1.768,28.538463000000004,0.167,2.195266384615385,0.33700000000000113
155,2,Permutate,1,12,-100.698,170.98,7.968999999999999,-0.163,3,3,3,1,0.222,2.384,1.7,27.86974,0.163,2.143826153846154,0.26300000000000195
156,2,Permutate,1,12,-100.615,175.30700000000002,7.772,-0.165,4,4,2,8,0.217,2.602,1.86,28.925655000000003,0.165,2.225050384615385,0.2693846153846172
