,crystal_descriptions,energy_substance_pa,magmom_pa,SYMM
207,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.5|Fe2_body-centered cubic_0.5|Fe3_9-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.109384615,1.768953846,69
332,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.5|Fe2_body-centered cubic_0.5|Fe3_9-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.109384615,1.768953846,69
108,Sm1_16-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_body-centered cubic_0.4|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.108307692,1.781112,65
1319,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.5|Fe4_14-coordinate_1.0|Fe5_body-centered cubic_0.4,0.114153846,1.783216154,65
34,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.4|Fe2_14-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.115461538,1.774170462,65
2186,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.4|Fe4_9-coordinate_1.0|Fe5_8-coordinate_1.0,0.126,1.880717538,65
2115,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.4|Fe2_12-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.4,0.13,1.783232,65
2166,Sm1_16-coordinate_1.0|Fe1_cuboctahedral_0.6|Fe2_cuboctahedral_0.5|Fe3_11-coordinate_1.0|Fe4_10-coordinate_1.0|Fe5_11-coordinate_1.0,0.176230769,1.978703077,65
1215,Sm1_18-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_14-coordinate_1.0|Fe3_cuboctahedral_0.5|Fe4_cuboctahedral_0.6|Fe5_cuboctahedral_0.8|Fe6_12-coordinate_1.0,0.170384615,1.908851077,47
201,Sm1_8-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_9-coordinate_1.0|Fe3_8-coordinate_1.0|Fe4_body-centered cubic_0.4|Fe5_8-coordinate_1.0|Fe6_8-coordinate_1.0|Fe7_14-coordinate_1.0,0.192,2.13996,47
336,Sm1_8-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_9-coordinate_1.0|Fe3_8-coordinate_1.0|Fe4_body-centered cubic_0.4|Fe5_8-coordinate_1.0|Fe6_8-coordinate_1.0|Fe7_14-coordinate_1.0,0.192,2.13996,47
2222,Sm1_20-coordinate_1.0|Fe1_14-coordinate_1.0|Fe3_12-coordinate_1.0|Fe2_cuboctahedral_0.6,0.079307692,1.91292,12
75,Sm1_20-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_14-coordinate_1.0|Fe3_cuboctahedral_0.7|Fe4_cuboctahedral_0.6|Fe5_12-coordinate_1.0|Fe6_12-coordinate_1.0,0.095846154,1.844471,12
1213,Sm1_16-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_body-centered cubic_0.5|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.100846154,1.744452615,12
159,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_8-coordinate_1.0|Fe4_body-centered cubic_0.4|Fe5_12-coordinate_1.0,0.118384615,1.776714231,12
338,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_8-coordinate_1.0|Fe4_body-centered cubic_0.4|Fe5_12-coordinate_1.0,0.118384615,1.776714231,12
2188,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.4|Fe4_14-coordinate_1.0|Fe5_body-centered cubic_0.4,0.118692308,1.783148308,12
2347,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.4|Fe4_14-coordinate_1.0|Fe5_body-centered cubic_0.4,0.118692308,1.783148308,12
2230,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.4|Fe4_14-coordinate_1.0|Fe5_8-coordinate_1.0,0.119769231,1.773754769,12
2348,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.4|Fe4_14-coordinate_1.0|Fe5_8-coordinate_1.0,0.119769231,1.773754769,12
23,Sm1_16-coordinate_1.0|Fe1_12-coordinate_1.0|Fe2_9-coordinate_1.0|Fe3_body-centered cubic_0.5|Fe4_body-centered cubic_0.5|Fe5_body-centered cubic_0.5,0.127692308,1.937324308,12
1220,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.4|Fe2_12-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.4,0.128846154,1.825398538,12
17,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_10-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_13-coordinate_1.0|Fe6_9-coordinate_1.0,0.131769231,1.750498154,12
1149,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_12-coordinate_1.0|Fe4_body-centered cubic_0.4|Fe5_body-centered cubic_0.4,0.14,1.915908,12
2333,Sm1_octahedral_0.4|Fe1_7-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_9-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.4|Fe6_13-coordinate_1.0,0.142461538,2.108461385,12
1268,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_11-coordinate_1.0|Fe3_11-coordinate_1.0|Fe4_cuboctahedral_0.5|Fe5_cuboctahedral_0.5,0.145538462,1.796072462,12
1366,Sm1_14-coordinate_1.0|Fe1_7-coordinate_1.0|Fe2_body-centered cubic_0.5|Fe3_body-centered cubic_0.6|Fe4_body-centered cubic_0.4|Fe5_10-coordinate_1.0|Fe6_body-centered cubic_0.5,0.155615385,2.134147077,12
2364,Sm1_cuboctahedral_0.6|Fe1_body-centered cubic_0.5|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.5|Fe4_body-centered cubic_0.4|Fe5_body-centered cubic_0.4|Fe6_body-centered cubic_0.5,0.157153846,2.035655769,12
1312,Sm1_20-coordinate_1.0|Fe1_1-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_cuboctahedral_0.6|Fe4_cuboctahedral_0.6|Fe5_cuboctahedral_0.4|Fe6_cuboctahedral_0.6|Fe7_cuboctahedral_0.6|Fe8_15-coordinate_1.0|Fe9_cuboctahedral_0.4|Fe10_15-coordinate_1.0,0.169076923,2.202252308,12
